id,username,type,date,title,text,rating,helpfulness,total_points,taObject,taObjectUrl,taObjectCity,kmean
609,1NicePerson,Hotels,3/23/2013,Still my favorite,"Canyon Club still offers the best value and location in Palm Springs within walking distance of downtown. Always draws a diverse crowd, especially on weekends. Over the years, housekeeping has improved immensely and is now excellent. The housekeeper not only changes the towels and empties the trash but actually cleans the room, every day! John and Chris are very hospitable and James is friendly and polite to a fault. There are couples just looking to relax and others looking for action. Everyone gets along well here. Breakfast has improved over the years with an immense variety including do-it-yourself smoothies, cereals, hard boiled eggs, pastries, etc. etc. Very nice. Despite all the plusses, the property still could use a major investment in maintenance. It&acute;s an old building and the infrastructure shows its age. But, all in all, if you&acute;re looking for a special environment in a great location, Canyon Club is for you.",5,3,103,Canyon Club Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d671758-Reviews-Canyon_Club_Hotel-Palm_Springs_California.html,Palm Springs,0
10259,Avishai625,Hotels,1/25/2010,"Great Hotel, Impecable Service, Wonderful Rooms, Superb Cuisine","Decided to spend our 29th wedding anniversary in Arequipa and the Colca Canyon. Outstanding travel experience. We could only say great things about this hotel. Their management attention to details is great. Sandra, at the reception desk, is wonderful. The rest of the team provide excellent service. Highly recommendable hotel.",5,0,100,Casa Andina Private Collection Arequipa,http://www.tripadvisor.com/Hotel_Review-g294313-d952945-Reviews-Casa_Andina_Private_Collection_Arequipa-Arequipa_Arequipa_Region.html,Arequipa,0
17934,CJTravelerTexas,Restaurants,10/3/2015,An Outstanding Evening,"On Friday evening my wife and I hosted an international delegation at Christopher&acute;s. Members of the delegation could not have been more pleased. The food was delicious and beautifully presented, the wine was perfect, the ambiance was elegant, and the service was impeccable. This was a wonderful evening.",5,1,101,Christopher's World Grill,http://www.tripadvisor.com/Restaurant_Review-g55543-d471349-Reviews-Christopher_s_World_Grill-Bryan_Texas.html,Bryan,0
17946,CJTravelerTexas,Restaurants,8/18/2015,Wonderful Dining Experience,"We recently celebrated our wedding anniversary at Christopher??™s World Grille, and, as we have come to expect, it was a delightful dining experience. The service was impeccable, the food was prepared to perfection, and the ambiance was refined. My wife had the sea bass and I had the off menu steak; both were delicious. Christopher??™s is a wonderful restaurant ??“ perhaps the best in the Brazos Valley. For a fine dining experience, give it a try. Because this is a popular restaurant, reservations are recommended.",5,1,101,Christopher's World Grill,http://www.tripadvisor.com/Restaurant_Review-g55543-d471349-Reviews-Christopher_s_World_Grill-Bryan_Texas.html,Bryan,0
17957,CJTravelerTexas,Restaurants,7/17/2015,Another Great Luncheon,"We enjoyed an excellent luncheon at Christopher&acute;s this week. We were a large group and had a private room for our gathering. As usual, the food, ambiance, and service were superb. For fine dining in the Brazos Valley, Christopher&acute;s is the place to go.",5,1,101,Christopher's World Grill,http://www.tripadvisor.com/Restaurant_Review-g55543-d471349-Reviews-Christopher_s_World_Grill-Bryan_Texas.html,Bryan,0
18142,COCOFromOttawa,Hotels,3/23/2015,WooHoo! Our Best Trip Yet!,"This is our fourth spring break vacation at Club Med Sandpiper Bay. Once again, we had a great active break, with everyone in our extended family ready to rebook for next year. I&acute;ve left some tips for anyone planning a vacation there followed by a few comments for management, below. But first, a shout out to the folks that keep us coming back. A big highlight of our trip this year were daily tennis lessons with Dennis and Gino - their great advice and entertaining classes got us back in shape and ready to hit the court again. We took the beginner lessons because we hadn&acute;t played in a few years. The fun effective drills and Gino&acute;s teaching style were hilarious. In the restaurant, Michael and servers Will, Tiffany and Justine were fantastic. The chefs are the hardest working of all ... magnificent job Chefs! Head of Sports Jake with Casey and Hunter on land and James and Emily on the water all do a great job. Golf pros Mikes (there are two) and John&acute;s clinics were excellent as always. Great to see Lionel back!  I gave yoga another shot (see comment below). Everyone sailed (some took lessons) and swam, some power walked and used the well equipped gym, and our teen boys played volleyball, basketball, touch football and ping pong daily.  Some tips: don&acute;t expect four or even five star accommodation. The magic here is in the many activities and the spirit of the GOs (Gentilles Organisateurs or entertainers) who work long hours to keep guest busy, happy and relaxed. Golf and tennis are the main sports priorities with excellent staff dedicated to both. This is not a romantic couples get away though there are lots of chances to steal away to the adult pool or sail or play tennis together when the kids are in the mini club or as in our case, busy in sports. The resort is on a river; the small beach is best for water sports like sailing and paddle boarding. We&acute;ve seen jelly fish, small sharks and on this trip briefly, a four foot long alligator in the bay. (Another, with a taste for tennis players lives behind the back tennis courts 17-20). Transfers from the airport are pricey. While this used to buy you a ride in a stretch limo or luxury vehicle, now it could also mean a ride in a van with 2 other families - you can rent a car or SUV for a week for the same price or much less - this will also let you make quick trips to the nearby towns of Stuart and Jensen and the (gorgeous) beaches for swimming or surfing only 20 minutes by car. Food at the resort is mainly a buffet ... With tons of choice, much of it very healthy with not too large portion sizes which I really appreciate (you can always ask for more). There&acute;s soft serve ice cream hidden in the mini club dining area of the main restaurant. There are also two sit down restaurants one informal and the other more formal, both with limited menus and much less interesting than the buffet. The main goal ofthe formal restaurant is to up sell you on some very overpriced wine. Reserve a table for a large group early. The spa is a real gem. The massage therapists are magicians. This is a great way to jump start that wonderful I&acute;m-on-vacation feeling. Word from some locals is that the resort will be renovated next year a good thing (some think it will be sold).. Wifi is $50 per week per device. Even with the surcharge, it&acute;s slow and unreliable. Shows are fun - our faves were The Gatsby show and the rockin&acute; Music factory show Saturday night.  For resort management: we saw a huge improvement in room cleanliness and condition over last year, all of our group&acute;s rooms were well maintained and clean. Almost all of the kitchen and restaurant glitches have been fixed and the restaurants ran smoothly even with 1000 guests in residence (though lots fell apart in the restaurant the day Michael was off - that guy deserves a medal for his work ethic and dedication to customer service). Scheduling and communications glitches were minimal. One very big suggestion: once again, yoga was truly abysmal and would have been laughable if it hadn&acute;t been so unsafe. Please, I beg you find some trained yoga teachers.",5,5,105,Club Med Sandpiper Bay,http://www.tripadvisor.com/Hotel_Review-g34580-d219076-Reviews-Club_Med_Sandpiper_Bay-Port_Saint_Lucie_Florida.html,Port Saint Lucie,0
18163,COCOFromOttawa,Hotels,3/24/2013,"Active, Healthy ... Revitalizing Family Holiday","A week at Sandpiper Bay is a wonderful way to revive yourself at the end of a long, cold Northern winter. This is the place to come to be active and healthy again, bringing normalcy back to an achy body that&acute;s been too long at a desk or traipsing through airports. That&acute;s the way I felt when my recent Sandpiper-week started. But now, as I&acute;m ready to leave, I feel invigorated by quality time with my husband and kids, sunshine, daily power walks, yoga and weights. Not to mention a vast array of delicious health foods. (Don&acute;t get me wrong, there are LOTS of ways to indulge too). Plus tons of sports and other activities - organized and drop-in - for every kid and adult. Note though that this is definitely and mainly a family resort. This is not an ideal destination at school holiday peak times if you&acute;re a couple or single looking for quiet romance or to party. Like all of the properties in the Club Med portfolio, you&acute;ll like Sandpiper most if you want to be active and are not seeking particularly luxurious accommodations - rooms are nice, beds comfy, bathrooms are basic - the real strengths of Sandpiper though are the G.O. s (staff hosts and animators) and the many activities. Highlights .. And some shout outs to the hardworking G.Os who made our trip extraordinary. The new Chef Du Village, Jeff is always present and approachable. The Land Sports team nailed the mix of genial host and leadership that made the many sports events they led through the week the reason my kids are begging us to come back again soon. Thanks to the ever energetic and hospitable Jake - sure to be a Chef Du Village someday - and to the very genial born-leaders Andrew and Hunter. Golf staff are extremely welcoming and professional, thanks in large measure to Joey and Nate. Golf clinics every morning with Bruce, Michael and David are of very high caliber and sure to knock a few shots off even the most accomplished golfers&acute; handicap. Finally, I am deeply grateful to Micha - you taught me that I CAN practice yoga (every day!) and I now I see how beneficial it can be. Your sessions did wonders for me. The chef - always close by at mealtimes - deserves a great deal of credit as does his hard working team who seem to work round the clock to deliver fresh baked bread, fresh fish, creative salads and a wide variety of cuisines as well as gorgeous desserts for all tastes. It was easy to avoid gluten at every meal. Judging from the comments of other guests, the beef wellington was a near religious experience and I can confirm that the roast duck and lamb were amazing. For guests: Don&acute;t let the buffet style meals turn you off. The food here is consistently extremely good. We noticed many of last years&acute; glitches were fixed . The coffee is great now. Latitude for 11 to 17 year olds is now properly supervised and divided by age group. Check in and out run smoothly. We appreciated the snacks prepared for our late arrival. The gym is comprehensive and inviting and clean. A few suggestions for improvement: I missed the tennis academy demonstration. Sometimes scheduling glitches remain and silverware and wine glass shortages are common at mealtime. It would be worthwhile to fully open Soleil to Marketplace diners at lunch and dinner. Although this is an option some nights, guests were squeezing past tropical plants and climbing rope barriers to get to the buffet. Bar staff seem overworked, a bit bored and in need of a new assignment. Sandpiper, youre missing an important opportunity to be a model of integration with and support to the rather fragile, but fascinating river-front ecosystem that surrounds the resort property. Thanks for a great time Sandpiper Bay. See you next year.",5,1,101,Club Med Sandpiper Bay,http://www.tripadvisor.com/Hotel_Review-g34580-d219076-Reviews-Club_Med_Sandpiper_Bay-Port_Saint_Lucie_Florida.html,Port Saint Lucie,0
15119,Boccato,Restaurants,2/25/2014,Excelente cappuccino com bela vista de Copacabana,"Visitei a unidade do Forte de Copacabana, que em um dia de c?©u claro oferece uma vista lind?­ssima da orla de Copacabana com o P??o de A?§??car ao fundo. O lugar estava bem cheio, tanto com as mesas externas como internas bem concorridas. Tomei um delicioso cappuccino com chantilly, que valeu a visita, ainda que para se ter acesso ?  confeitaria h?? que se pagar a entrada para o Forte, no valor de R$6,00 por adulto.",5,0,100,Confeitaria Colombo,http://www.tripadvisor.com/Restaurant_Review-g303506-d1062184-Reviews-Confeitaria_Colombo-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,Rio de Janeiro,0
13921,Bingenheimer,Hotels,12/31/2013,Always excellent!,"This has become my home base for west side LA business appointments. Staff is excellent, courteous and helpful and the location is great, close to shops and restaurants. The rooms are kept very clean and the views are stupendous. The rates are very affordable and the aces is a cinch from Highway 1. I will definitely return.",5,0,100,Crowne Plaza Redondo Beach & Marina,http://www.tripadvisor.com/Hotel_Review-g32954-d79509-Reviews-Crowne_Plaza_Redondo_Beach_Marina-Redondo_Beach_California.html,Redondo Beach,0
13936,Bingenheimer,Hotels,9/18/2012,"Stellar Experience, Great Staff!","The Redondo Beach Crowne Plaza is the best hotel by far in Redondo Beach. The location is stellar with walking access to the beach, the twon and all the great restaurants and drinking holes on the pier. The room was very clean, well-appointed and extremely comfortable and had a gorgeous view of the ocean and pier. The best part of the hotel is the staff who provide legendary customer service, always greeting the guest when appropo and providing excellent suggestions for dining. A special shout-out to Joseph who was particularly helpful and accessible. We&acute;ll definitely be back!",5,0,100,Crowne Plaza Redondo Beach & Marina,http://www.tripadvisor.com/Hotel_Review-g32954-d79509-Reviews-Crowne_Plaza_Redondo_Beach_Marina-Redondo_Beach_California.html,Redondo Beach,0
14147,BirminghamLola,Restaurants,8/24/2014,Still the best wings in the world,"We fell in love with this place when visiting the area last summer and had to come back. The Delaney&acute;s sampler is awesome. Beautiful, succulent ribs and amazing wings served up with onion battered green beans which are just delightful. Service is friendly and efficient. A must visit if you&acute;re in the area.",5,0,100,Delaney's Hole in the Wall,http://www.tripadvisor.com/Restaurant_Review-g46186-d549519-Reviews-Delaney_s_Hole_in_the_Wall-North_Conway_New_Hampshire.html,North Conway,0
14160,BirminghamLola,Restaurants,9/11/2013,Great place,"I was intrigued by onion battered green beans so opted for the sampler platter which consisted of ribs, wings and onion battered green beans. It was one of the most tasty meals I have ever eaten. The ribs were succulent and the jalapeno BBQ sauce was totally yummy. The honey hot wings were gorgeous and the buffalo wings were hot and tasty with melting your face off. The onion battered green beans were delicious. Jimmy, our server, was great. Friendly and attentive without being obtrusive. Could not complain about anything except perhaps that we don&acute;t live closer!",5,0,100,Delaney's Hole in the Wall,http://www.tripadvisor.com/Restaurant_Review-g46186-d549519-Reviews-Delaney_s_Hole_in_the_Wall-North_Conway_New_Hampshire.html,North Conway,0
977,2093,Hotels,10/17/2013,Second time around,"This is our second stay at Eden Rock, 2.5 years after our first. The first time we stayed for 10 nights, this time around for 6 nights - so that should say something about how much we enjoy it.  If you&acute;re looking for the hustle and bustle of the Old City, you won&acute;t find it here. There&acute;s no cobblestone streets, centuries old buildings and hordes of people.  But the Old City is only 15 minutes away by bus, or less by car. We use it as a base not only to get-to-know and explore Firenze, but the surrounding countryside of Tuscany, including Umbria and Chianti and to the coast.  Eden Rock is a contemporary renovation of an establishment built in the 1950s into a wonderful location on the side of a rock in the hills to the north of Florence. It has a gorgeous picture postcard view across to the other hill of Fiesole and down the valley to the Duomo and old city - of itself, this is enough to instill a sense of calm and tranquility. The suites are comfortable, have everything you need (perhaps a microwave would be helpful) and are of high quality without being over-the-top. The breakfast is balanced. While a limited menu - which is understandable - the in-house lunch/dining was surprisingly very good and tasty on the one occasion we used it.  But most of all, what brought us back is the people. Led by Daniele, who is wonderful, and including Walter, Sylvia & others, the staff are friendly, warm, efficient and helpful.  We don&acute;t know when we will return to Firenze but we will; and when we do, we will stay here again.  In the meantime, Forza Viola!",5,1,101,Eden Rock Resort,http://www.tripadvisor.com/Hotel_Review-g187895-d671321-Reviews-Eden_Rock_Resort-Florence_Tuscany.html,Florence,0
1046,2093,Hotels,5/9/2011,Do not even think of staying anywhere else when you visit Firenze,"We spent 10 nights at Eden Rock Resort and used Firenze as a base to travel around the countryside as well as the city itself. It was fantastico! Not only is it a lovely place to stay with gorgeous views across to Fiesole and towards the city, but the helpfulness and friendliness of the team at Eden Rock is unparalleled. I particularly have to note Daniele who gave great advice and tips on where to go, itineraries and places to eat but was also so patient in showing us the best way to navigate through the streets of Firenze (especially as we drive on the opposite side of the road!). The apartment we stayed in was very comfortable and was a mini home-away-from-home. The property has beautiful gardens and is very well maintained and it was a just a great place to be for the end of what was a wonderful 4 week holiday for us. To top it off, the breakfast room and breakfasts were also delightful and thanks to Sylvia for her beautiful brioches!  Finally, we had the fun of seeing Fiorentina defeat Udinese 5-2 in a Serie A match. Once again, Daniele kindly took us with him to the game and returned us. I am also now the proud owner of a Fiorentina scarf! When ever we visit Firenze again, we would not dream of staying anywhere else.",5,2,102,Eden Rock Resort,http://www.tripadvisor.com/Hotel_Review-g187895-d671321-Reviews-Eden_Rock_Resort-Florence_Tuscany.html,Florence,0
21556,Cholako,Attractions,10/6/2014,Imperdible,"Intentar visitar cerca del anochecer, para poder disfrutar tanto la vista diurna como la nocturna. Reservar los tickets con mucha anticipacion (SEMANAS!!) la visita a la torre para evitar las demoras al llegar.",5,1,100,Eiffel Tower,http://www.tripadvisor.com/Attraction_Review-g187147-d188151-Reviews-Eiffel_Tower-Paris_Ile_de_France.html,Paris,0
1020,2093,Attractions,9/2/2012,A must do,"We came to Ellis Island with a fairly good knowledge and understanding of the issues, and left it very impressed.  We started by seeing the short film which was a great introduction, and by taking the self-paced audio tour which was very well done. Everything along the way was interesting, relevant, consistent and told its history eloquently and honestly. It was a place of hope, but also a place of tears.  Don&acute;t leave Manhattan without going here.",5,0,100,Ellis Island,http://www.tripadvisor.com/Attraction_Review-g60763-d104370-Reviews-Ellis_Island-New_York_City_New_York.html,New York City,0
7053,Amigolovelyhair,Restaurants,7/2/2015,"Love it, alway have for many years ??","I love its location, its atmosphere , the food, the service, its simple but effective, nothing is ever problem and the quality is good. Can not fault it on any level in the area it represents .",5,1,101,Franco's,http://www.tripadvisor.com/Restaurant_Review-g190736-d1072687-Reviews-Franco_s-Carlisle_Cumbria_England.html,Carlisle,0
7101,Amigolovelyhair,Attractions,5/27/2013,Love it,"Like all the Disney Theme Parks they are brimming with Magic,amazing staff ,loads to do ,whatever your age.The Lion King show is my personal favourite.As a family we all love it.",5,1,101,Franco's,http://www.tripadvisor.com/Restaurant_Review-g190736-d1072687-Reviews-Franco_s-Carlisle_Cumbria_England.html,Carlisle,0
622,1NicePerson,Hotels,4/16/2012,The Best,"This remains the best Hampton Inn you will find anywhere. Housekeeping and maintenance here are well above average. Rooms and hallways are cleaned corner to corner and there is no chipped paint or stained carpets here. Everything is looked after and it shows. Staff if great and breakfast is always tasty and well maintained. Only two issues take away from being a perfect hotel. The desks are placed in front of the air conditioning units so you have your choice of turning off the A/C and sweltering or getting a cold blast of air on your shoulder. This is common in many hotels - not sure why. Perhaps an air diverter would solve the problem. Secondly, this hotel has the slowest elevator in Florida. There is only one and it serves both guests and housekeepers (with their carts) and it is slow. The door opens slowly, the door closes slowly, the elevator move slowly. The entrances fromt the parking areas are in the center of the building yet the only two stairways are at the extreme ends. So you have a choice of walking half the length of the building to the stairway, or using the one slow elevator. Really not a good design at all. But, assuming you get a room on the ground floor, you&acute;ll find this hotel really excellent.",5,0,100,Hampton Inn Ft. Lauderdale-Commercial Blvd.,http://www.tripadvisor.com/Hotel_Review-g34677-d224579-Reviews-Hampton_Inn_Ft_Lauderdale_Commercial_Blvd-Tamarac_Florida.html,Tamarac,0
653,1NicePerson,Hotels,5/16/2010,Top Notch Hotel,"This is a superbly run hotel with excellent housekeeping and competent service. The breakfast buffet is simply outstanding. Location is good too, being about a 10 minute walk from Taksim Square with lots of retauarants, shops and ATMs nearby. Be advised, however that internet access is rather expensive and the mini-bar prices are the highest I have seen anywhere. At 16TL (~USD13) for a beer, you should think twice before taking one (or visit the Executive Lounge). All in all, this is a top notch hotel and I would certainly stay there again if I return to Istanbul.",5,1,101,Hampton Inn Ft. Lauderdale-Commercial Blvd.,http://www.tripadvisor.com/Hotel_Review-g34677-d224579-Reviews-Hampton_Inn_Ft_Lauderdale_Commercial_Blvd-Tamarac_Florida.html,Tamarac,0
5288,Aelwyn,Attractions,3/4/2015,Great place for photography!,"This place is amazing. It&acute;s interesting on the outside but when we ducked inside to get out of the wind, we discovered that it&acute;s far more special on the inside. One could easily spend and hour or more walking around photographing this place.  The architecture is a visual treat and when you add in the fact that it has a cafe and a couple of shops to browse, something as seemingly mundane as a convention center becomes a worthwhile tourist attraction. Go see it!",5,0,100,Harpa Reykjavik Concert Hall and Conference Centre,http://www.tripadvisor.com/Attraction_Review-g189970-d2108615-Reviews-Harpa_Reykjavik_Concert_Hall_and_Conference_Centre-Reykjavik_Capital_Region.html,Reykjavik,0
5265,Aelwyn,Attractions,5/28/2015,Fascinating Place,"Highgate is the crown jewel of the Magnificent Seven in my opinion. It is wonderfully interesting both historically and as a place to explore. The tour of the West cemetery is excellent and gives one a lot of history of the site as a whole plus it is the only way to view some of the more unusual aspects of the place. Do be aware that some places are off limits to photography which is unfortunate because those are the places I wanted to shoot most.  The East side is available to wander for as long as one wishes and it could easily be many hours in good weather. The sculptural headstones are rich with verse and information from a bygone time and the tilted, overgrown stones have such storybook character that everyone can find a strange beauty there and a connection to the past.  I look forward to visiting again. Oh and one word of advice... wellies. It&acute;s often muddy and you&acute;ll have more fun exploring if you&acute;re prepared for it.",5,3,103,Highgate Cemetery,http://www.tripadvisor.com/Attraction_Review-g186338-d194290-Reviews-Highgate_Cemetery-London_England.html,London,0
7068,Amigolovelyhair,Hotels,6/11/2014,Excellent as expected,"Arrived around 3.30pm ,the receptionist was very welcoming and friendly,the room was spotless with a beautiful sea view.The bed was massive and the room and bathroom were immaculate.i rang reception as I couldn&acute;t find the thermostat to control the heating on the radiator ,again the receptionist was extremely pleasant.i still couldn&acute;t find the thermostat controls ,even after the conversation so called in at reception to explain this (to the same receptionist) and she promised to send somebody up to have a look.........foolishly I was looking for an electronic thermostat controller on the wall ,when infact it was just a knob on the radiator I should have been looking for and I caused a lot of hassle because of my stupidity,but the receptionist remained lovely,helpful and professional in her quest to help me when I imagine she wanted to slap me.I left for a night out and returned about 2am,the door staff were friendly and welcoming ,I decided I would gate crash an event in the function room but was refused service as I wasn&acute;t an invited guest,so top marks to the bar staff for asking me to leave ,however I was dressed as an 80&acute;s Boy George so wouldn&acute;t have fit in at this corporate event anyway.All in all it&acute;s a great hotel with great staff,I never made breakfast but know from my last visit it is amazing ! Would I return ? Yes every time .",5,0,100,Hilton Blackpool Hotel,http://www.tripadvisor.com/Hotel_Review-g186332-d192735-Reviews-Hilton_Blackpool_Hotel-Blackpool_Lancashire_England.html,Blackpool,0
7124,Amigolovelyhair,Hotels,7/1/2012,Staff are a credit,"Stayed here for two nights , deal included dinner on first night and breakfast for the two mornings.Its easy to find and set just far enough away to be a target for the many many drunken weekend group parties,yet close enough to still be part of it all.The hotel itself is clean and pleasant.Our evening meal was fantastic, the staff were very friendly and welcoming,we expected the meal to be below par as it was part of the deal ,however we couldnt have been more impressed.We had the buffet carvery,which as a rule I deteste but it was fresh,tasty and had plenty of choice and nothing like a canteen which I had in mind.Infact it was so good I would pay to eat there even if I was staying elsewhere.Every member of staff we encountered were great! Downside is the leisure club,we used the pool , it was smaller than pictures portray and grubby.The changing rooms are so small there was 4 people in and they were full the lockers we broken too.The gym areas looked more modern but very small.The steam room was dark and smelly and we couldnt use the sauna due to some disrespectful guests laying full out on the benches and making no attempt to move,therefore leaving no space.But thats not the hotels fault.Another downside is the bathrooms!! So small, literally one person only,even then you have to move to close door, and the bath was tiny, deffo no full sized at all.However,these down points are not deal breakers for us.I loved this hotel.",5,0,100,Hilton Blackpool Hotel,http://www.tripadvisor.com/Hotel_Review-g186332-d192735-Reviews-Hilton_Blackpool_Hotel-Blackpool_Lancashire_England.html,Blackpool,0
